,objek wisata,ulasan,atraksi,amenitas,aksesibilitas
2713,wego,Tempat rekreasi yang cocok buat anak anak . Bayar parkir 10ribu ongkos masuk 25ribu. Biasa aja sih tp lumayan lah buat ngisi waktu liburan . Ada pesawat siapa tau mau foto lgsg buat jadi pilot2an hehe. Tp buat anak2. Jasa fotonya bayar 20rb,positif,,
2716,wego,Cocok buat momong bocah tiket masuk 25 dan parkir mobil 10.000 makanan murah2 jd nggak harus khawatir,positif,positif,
144,alun alun,Cocok buat hiburan keluarga dikarenakan disini lengkap permainan buat anak2,positif,,
1489,gunung pegat,Murah dan alami,positif,,
766,alun alun,Masih banyak yang gelap,,negatif,
1331,gunung pegat,"Tempat nyantai recommended, view bagus dan htm merakyat",positif,,
2441,wbl,"pantainya oke, wahana hiburannya mantab, makanannya jg enak. akses lumayan.",positif,positif,positif
2520,wbl,Baik,,,
947,goa maharani,"Recomended buat wisata keluarga, edukasi buat anak..",positif,,
121,alun alun,"Bagus alun alunx... ada taman bermain anak,ada masjidx, spot foto2x jg banyak, tempatx bersih",positif,positif,
1671,pantai kutang,"akses jalan yang semakin bagus, para wisatawan dapat menjangkau Pantai Kutang dengan lebih mudah dan cepat.",,,positif
2185,wbl,Bagus tempatnya banyak wahananya tp buat anak kecil agak susah dan cuma bisa beberapa tempat wahana buat bocil. Jd buat anak kecil mungkin pesen tiketnya yg entrance aja kali ya. Sayang bgt ga kepake tiket wbl nya kepake cuma beberapa x aja,negatif,,
787,alun alun,"Tempat maen utk keluarga, khusus.nya anak-anak..
Cocok utk di Kota Lamongan..",positif,,
1604,pantai kutang,"Bagus pas waktu sunset,,,",positif,,
2217,wbl,"Asik banget, selain pemandangan pantai yang tergolong cantik, juga terdapat banyak wahana permainan, dan juga aneka jenis kuliner",positif,positif,
893,goa maharani,"Tempatnya bagus dengan koleksi hewan yang lumayan lengkap & ada tempat bermain untuk anak², jd pasti sangat cocok buat pengetahuan anak tentang binatang",positif,,
1354,gunung pegat,Santai…pemandangan indah,positif,,
160,alun alun,Ruang terbuka publik yg kaya wahana permainan,positif,,
1732,pantai lorena,"Keren tempatnya, kuliner murah meriah dgn suasana pantai yg sejuk, jadi tempat langganan dikala suntuk ",positif,positif,
151,alun alun,Cocok utk santai bersama keluarga di sore hari sampai malam,positif,,
2150,wbl,Lokasi wisata ini terletak di jalan utama surabaya - tuban. Tempat ini mudah dikenali karena ada ornamen patung kepiting raksasa yang ada di pintu masuk,,,positif
155,alun alun,Tempat hiburan alternatif bagi warga kota lamongan. Beberapa wahana bisa ditemukan di sekitar alon alon kota.,positif,,
281,alun alun,"Bersih , tertata, ada mini aviary ,.jalur rapi hati2 jalanan kota agak ramai",positif,positif,negatif
1592,pantai kutang,"Tempatnya oke, bisa diandalkan sebagai wisata lokal, tinggal jaga kebersihan saja dan fasilitas yg lebih memadai, seperti gubuk2",,negatif,
1540,gunung pegat,"Sejuk, murah meriah",positif,,
2330,wbl,"Masjid di dekat tempat parkir cukup luas, di dalam juga ada musholla kecil. Kalau ingin oleh2 kaos, harganya cukup terjangkau. Jangan lupa beli Wingko Babat khas Lamongan.",,positif,
1460,gunung pegat,"viewnya bagus,lgs bs liat sukoharjo dan wonogiri.senja² recommend",positif,,
1810,pantai lorena,"syahdu pantainya.. bisa lihat sun set, bisa tangkap ikan ketika laut surut",positif,,
2339,wbl,"MEMBOSANKAN, PANAS, JALANNYA RUSAK SEMUA, TEMPAT PERMAINANNYA SUDAH RUSAK SEPERTI TIDAK TERURUS.",negatif,,negatif
269,alun alun,Kita sebagai warga kota Lamongan selalu menjaga dan merawatnya,,positif,
2676,wego,Asri,positif,,
711,alun alun,Ada permainan anak2 nya,positif,,
2881,wbl,Makanan di sini tidak enak dan harganya terlalu tinggi untuk kualitas yang diberikan.,,negatif,
2322,wbl,"Mungkin jembatan penghubung antara WBL & Maharani Zoo yg perlu ditingkatkan kualitas & kebersihannya.
Mengingat lokasi yg cukup panas, mungkin juga perlu ditambah spot2 teduh.",,negatif,
1148,goa maharani,"Tempat yang bagus untuk memiliki akhir pekan
",positif,,
2021,waduk gondang,Murah tiket parkirnya,,positif,
209,alun alun,"Cukup luas dengan dilengkapi beberapa permainan anak dan taman, lumayan buat sekedar olahraga",positif,,
1538,gunung pegat,ga ada yang spesial sebenrnya,negatif,,
1820,pantai lorena,"Mayan buat nongkrong, drpd nongkrong di rumah mending sini ama liat ombak laut Pantura",positif,,
479,alun alun,Sangat bagus untuk refreshing keluarga,positif,,
2504,wbl,Sekarang sepi,,,
411,alun alun,ada permainan biang lala tetapi jarang sekali beroperasi,negatif,,
1415,gunung pegat,Harapan saya... Di fasilitasi musholla/masjid agar nantinya pengunjung lebih nyaman. Pokoknya maju jaya terus lurrr...,,negatif,
829,alun alun,Tidak afdol ketika mudik ke kampung halaman ibu kalo tidak ke alun alun kota lamongan ini. Karena kuliner khas lamaongan nasi boran dan soto lamongan cak har selalu bisa membuat rindu,positif,,
363,alun alun,Biang lala nya kenapa jarang beroperasi,negatif,,
217,alun alun,"Terakhir ke sini 2009
Sekarang sudah banyak berubah
Banyak mainan untuk anak",positif,,
564,alun alun,Senang sekali.. Tempat bagus bersih dan tertata rapi,positif,positif,
1325,gunung pegat,Tempat yang seru untuk berekreasi alam.. Setiap sabtu malam dibuka lahan untuk camping dan minggu pagi nya ada pasar kuliner tradisional dgn harga terjangkau,positif,positif,
763,alun alun,Bianglala Lamongan,positif,,
804,alun alun,Aloon Aloon Kabupaten Lamongan adalah sebuah taman kota yang berada di pusat kota Lamongan serta banyak juga orang yang berjualan makanan khas Lamongan seperti Nasi Boran,positif,,
2466,wbl,Sabgat bagus sekali,,,
36,alun alun,"banyak wahana, namun beberapa ada yg tdk bisa berfungsi dgn baik. Ketika sore suasana sangat ramai, mungkin orang lamongan butuh lebih banyak ruang bermain anak/taman sejenis selain di alun-alun",positif,negatif,
76,alun alun,"kurang tertata rapi...
sampah masih berserakan...
taman air mancurnya tidak terawat...",,negatif,
2274,wbl,Bagus kok tenang ada rumah hantu juga ko dan mainan yang bagus banget,positif,,
1360,gunung pegat,Wisata alam diatas perbukitan dan aneka kuliner dan pemandangan yg indah,positif,positif,
1623,pantai kutang,cukup indah,positif,,
1663,pantai kutang,Saya suka tempat ini,,,
685,alun alun,"Lumayan ramai, aman tuk anak kecil, makanan sekitar relatif murah",,positif,
2661,wego,"Wego Lamongan, sebelumnya telah membuat aku penasaran. Eh ternyata sesudah melihatnya memang bagus. Wahananya lengkap deh. Spot fotonya juga banyak. Cocok untuk anak2, remaja atau orang dewasa. Bagus deh.",positif,,
177,alun alun,"Sekarang alun-alun lamongan nggak seperti dulu.. dulu ramai asik
Sekarang sepi nggk ada pa2 cuman dibaut tempat pacaran",negatif,,
1071,goa maharani,Hiburan edukatif dan murah meriah untuk keluarhga,positif,,
1447,gunung pegat,View bagus,positif,,
2300,wbl,Bagus,,,
2595,wbl,Tdk terawat,,negatif,
322,alun alun,toiletnya ngga ada sabunnya hmmm,,negatif,
493,alun alun,"Bersih, nyaman... ",,positif,
918,goa maharani,Menyenangkan sekali,positif,,
2017,waduk gondang,Tempat bagus & sejuk,positif,,
2303,wbl,Wahana wisata yang berada di pesisir pantai dengan berbagai arena bermain yang memanjakan pengunjungnya... Punya masjid yang baguss dan cocok untuk bersantai juga ... Alhamdulillah,positif,positif,
443,alun alun,Tmpatnya indah dan nyaman,positif,,
1800,pantai lorena,mantap.. gratis.. bisa foto2,positif,,
734,alun alun,"Setelah berkendara jauh kami bisa istrhat disini dengan santai, parkiran aman juga",positif,positif,
971,goa maharani,Tiket masuk nya mahal juga yahh. Untuk rembongan keluarga,,,negatif
944,goa maharani,Tempat yg nyaman buat liburan..,,positif,
2453,wbl,Sangat menyenangkan ..,,,
872,goa maharani,goa nya kurang menarik seperti dulu,negatif,,
1937,pantai lorena,bagus,,,
1372,gunung pegat,"Yg mau liat sunrise disini, jam 5-an pagi lgsg gass kesini gaiss.
Pemandangan nya cantik, tersedia foodcourt, kamar mandi",positif,positif,
225,alun alun,Taman kota yang asri di pusat kota Lamongan,positif,,
253,alun alun,Setahun lebih gak ke alun-alun. Ketika kesini lagi sudah banyak berubah. Lebih bagus dan lebih menyenangkan.,positif,,
1146,goa maharani,"Gua Maharani merupakan salah satu wisata yang menakjubkan, terdapat banyak jenis binatang, dan disana juga menyuguhkan pemandangan yang begitu indah.
",positif,,
2199,wbl,Memuaskan wahananya,positif,,
934,goa maharani,Sangat menyenangkan,positif,,
822,alun alun,Tempat nongkrong dan makanan rakyat nasi boran,positif,,
518,alun alun,Luas dan sejuk,,positif,
464,alun alun,Mantap kopi nya,,positif,
334,alun alun,Nyaman buat nyantai,positif,,
2745,wego,Murah meriah parkitan luas,,positif,
2361,wbl,Banyak sekali permainan dan spot foto nya bagus untuk tempat refreshingg,positif,,
2444,wbl,Wahana semua lengkap bagus modern,positif,,
2218,wbl,Mantap,,,
1214,gunung mas mantup,Tempat berswafoto. rekreasi keluarga.,,,
1906,pantai lorena,bagus,,,
2699,wego,"Rame banget pas libur tahun baru
Tempat sejuk dan bersih.
Cocok buat liburan keluarga",positif,,
2425,wbl,"tempat bersih kok.., area parkir juga luas..
untuk pengalaman wahananya nanti nyusul ya boss.. tunggu aja biar nambah penasaran",,positif,
1738,pantai lorena,"Tempatnya strategis tepat di pinggir jalan. 
Di sekitaran pantai Lorena juga terdapat warung-warung kecil, yg menyediakan berbagai minuman dan makanan.",,positif,positif
2584,wbl,ada beberapa wahana yang terlihat tidak terawat,negatif,,
1791,pantai lorena,"Pagi-pagi sarapan di sini tenang sekali, udaranya enak dan pemandangan langsung ke pantai",positif,,
1754,pantai lorena,tempat nongkrong terbaik,positif,,
1653,pantai kutang,"
terdapat jembatan panjang membentang sepanjang bibir pantai...",positif,,
1041,goa maharani,Sebagai sarana rekreasi sekaligus edukasi,positif,,
449,alun alun,Mantap sejuk ramai,positif,,
737,alun alun,tolong ditambahi lagi tempat sampahnya,,negatif,
602,alun alun,"Alun-alun nya bagus,bersih,rapih, fasilitas ibadah yang sangat memumpuni",,positif,
2888,gunung mas mantup,objek wisata ini tidak menyediakan fasilitas tempat makan dan minum yang memadai bagi pengunjungnya,,negatif,
2753,wego,Tempatnya asik buat nongkrong.. tapi agak panas ketika musim kemarau..,positif,negatif,
1865,pantai lorena,Bagus tempatnya +gratis masuknya,positif,,
2786,wego,Untuk petunjuk Arah Jalan yang kami rasa masih kurang..tapi masih bisa kita atasi dengan menggunakan maps google..,,,negatif
44,alun alun,"Sangat baik alon2 dijadikan tempat rekreasi kluarga, gratis  dan ada permainan ajak.
Yg penting pihak pemda dan pengunjung menjaga kebersihan, terutama toilet yg sudah bagus.
Sayangnya pas ada kumandang adzan magrib, baik laki maupun wanitanya masih bercengkerama.",positif,positif,
2668,wego,Tempatnya asri bgt,positif,,
869,goa maharani,Kebun binatangnya tidak terlalu besar. Hewan yang ada cukup banyak jenisnya. Cukup lengkap. Penataan bagus. Dan ada goa alam disini. Tempatnya bersih. Ada pasar oleh oleh dan tempat makannya juga yang berada diluar.,positif,positif,
1227,gunung mas mantup,"Tempat bagus ,,,bersih,,,",,positif,
460,alun alun,Full WiFi...mantab,,positif,
2061,waduk gondang,"Dengan pesona danau waduk Gondang yang alami dan asri, hamparan bukit bukit di sekitar waduk menambah keindahan waduk gondang",positif,,
2251,wbl,lokasi mudah ditemukan karena posisinya ada di jalan pantura,,,positif
1012,goa maharani,setuju...hewannya.banyak yg kurus..mungkin efek pandemi ya,negatif,,
525,alun alun,Pamandangannya enak untuk bersamtai ada masjid agungnya juga untuk ibadah umat muslim,positif,positif,
277,alun alun,"Semakin bersih ..semakin bagus ..
Lamongan megilan",,positif,
1563,pantai kutang,"Lumayan untuk refreshing keluarga, damai suasananya, banyak spot foto, syangnya jauh banget jembatan menuju pantainya, semoga tambah maju kedepanya diberi jalur cepat khusus akses ke pantai, untuk disable atau emergency",positif,,negatif
40,alun alun,"Luas asik buat nongkrong"" bareng keluarga",positif,,
904,goa maharani,"saya tertipu saat beli oleh2 trnyata snack yg saya beli pas drmh dibuka dah beraroma ga enak klo orng jawa bilang ""tengik"". jd klo mau beli oleh2 mesti teliti.",,negatif,
543,alun alun,"Bagus cuma kebersihan nya kurang di jaga dan wahana untuk anak"" banyak yg rusak!",,negatif,
2352,wbl,"tempat wisata yang nyaman untuk anak-anak dan dewasa, dengan harga tiket yang kompetitif",positif,,
509,alun alun,"jalan sekitar sudah tidak terlalu bergelombang, tapi penerangannya masih sangat kurang",,negatif,positif
271,alun alun,Tempat yang bisa digunakan sebagai wahana rekreasi keluarga,positif,,
2277,wbl,Kamar ganti kolam renangnya jorok gak ada gantungan bajunya..,,negatif,
708,alun alun,Bagus ada permainan anak,positif,,
965,goa maharani,"Efek pandemi kali yak, hewannya jafj keliatan agak ga kerawat",negatif,,
2497,wbl,Seru,,,
1345,gunung pegat,Suasana enak dan nyaman. View sawah dan perkampungan yang cukup keren. Kuliner tradisional Minggu pagi oke banget,positif,,
1805,pantai lorena,Pantai nya bagus,positif,,
1598,pantai kutang,"Sekedar saran aja, sebaiknya di sediakan tempat berteduh ...
Karena di sana tmpat berteduhnya di pakek buat bangku2 pemilik warung, jadi pengunjung malu kalau berteduh dn gak beli apa2 ...
Seharusnya kan kita pengunjung bisa istrahat  di bawah pohon cemara tapi semua pohon cemara gak ada yang kosonk ...
Kasihan pengunjung harus panas2an duduk di pasir2",,negatif,
1905,pantai lorena,lumayan,,,
2891,gunung mas mantup,tidak ada tempat makan dan minum yang tersedia di objek wisata ini,,negatif,
2096,waduk gondang,"Kren sipp pmandanganx,bguss suasana alam yg bgitu sgerr sjukk,adem poll pkok,e,,,mntaff,,,",positif,,
137,alun alun,Alun alun kota Lamongan sekarang tambah bagus indah pemandangannya,positif,,
1222,gunung mas mantup,"Kalau boleh tambahin donk pohon""nya biar teduh dan tambah nyaman",,negatif,
474,alun alun,kurang penjual minuman,,negatif,
2073,waduk gondang,Tempatnya sejuk dan asri.. Cocok buat nongkrong karena tiket masuknya muraaahh banget,positif,,
991,goa maharani,Bagus. Tiket masuk lumayan terjangkau.. Tapi sedikit saran hewannya lebih dirawat lagi . Tempatnya bersih dan cocok untuk anak anak bisa memberikan edukasi tentang satwa,positif,positif,
1109,goa maharani,Mantap,,,
2306,wbl,"tempat wisata yg lengkap dilamongan, harganya sesuai dengan fasilitas yg didapet sih",,positif,
302,alun alun,"Ramah buat anak"" .
Cocok buat akhir pekan",positif,,
319,alun alun,"area anak2 ada pilihan bermainya tapi lebih diperhatikan lagi karena ada beberapa fasilitas ank2 yg rusak, membahayakan ank2
area lain saya rasa sudak cukup bagus",,negatif,
434,alun alun,love love love this place.,,,
2001,waduk gondang,Tempatnya bagus lumayan ramai suka,positif,,
2553,wbl,"Perlu ada pembersihan taman taman di sekitar terutama di area wahana kereta di bawah laut.
Dan pengharum ruangan di wahana kuning, bajak laut, bioskop, dinding kaca",,negatif,
62,alun alun,Bagus dan bersih alun2nya. Tertata dengan rapih juga baik parkir maupun pedagang kaki limanya. Sholat di masjid agung juga nyaman banget. Mantablah Lamongan,,positif,
1296,gunung pegat,asri tempatnya,positif,,
1022,goa maharani,Sangat puas dengan hewan2 nya,positif,,
1695,pantai lorena,"Sore atau pagi mantapp..
Siang siang nongkrong aja juga oke .. nikmatin angin lautt",positif,,
1462,gunung pegat,tmptnya sungguh indah.,positif,,
1723,pantai lorena,Air lautnya jernih,positif,,
336,alun alun,"Banyak wahana bermain untuk anak, ada kandang burung dara, sehingga mirip2 di kota paris. Ada banyak burung2 bertebangan dan jinak. Dijamin gak bakal nyesel jika pas ke Lamongan, memyempatkan mampir ke alun2 lamongan.",positif,,
1878,pantai lorena,Pantai yang cocok untuk foto Selfi,positif,,
1016,goa maharani,"Sangat mengedukasi buat anak"" Saya terimakasih",positif,,
2363,wbl,Bagus bngt hrg jg sesuai anak2 senang,positif,,
1027,goa maharani,"parkir cukup luas, harga murah dan terjangkau",,positif,
2088,waduk gondang,Kurang terawat,,negatif,
1986,waduk gondang,Udara yang segar sejuk dan masih alami,positif,,
1804,pantai lorena,Ada tempat nongkrongnya buat santai sama keluarga. Es dawet siwalan dan rujak buahnya oke,positif,positif,
185,alun alun,Kotor banyak sampah bertebaran dimana2... Aku orang Surabaya yang main kesana melihat banyak orang lokal suka buang sampah seenaknya,,negatif,
2836,wego,Tidak ada transportasi yang disediakan di sekitar objek wisata ini,,,negatif
290,alun alun,Bagus ada permainan anak² y lumayan buat anak bermain,positif,,
337,alun alun,klau mlm hari peneranganya kurang,,negatif,
750,alun alun,Sarana prasarana nya di benahi lagi..Air mancur yg sebelah selatan mati Biang Lala juga mati,,negatif,
1891,pantai lorena,Juosss...sunset nya cuantik,positif,,
403,alun alun,Tempatnya bersih dan bagus,,positif,
1965,waduk gondang,"Seneng banget tempatnya sejuk, bagus ,pamandangannya terlihat uwuuw spot selfinya juga banyak",positif,,
